Catalogue number,Parent image ID,Mars Express/HRSC DTM (best resolution),HRSC DTM resolution (m/px),HiRISE available ?,HiRISE image,HiRISE anaglyph,HiRISE DTM,GLF Head lon. (deg. East),GLF Head lon. (+/- 180),GLF Head lat. ,GLF Terminus lon. (deg. East),GLF Terminus lon. (+/- 180),GLF Terminus lat.,Mid-channel true right lon. (deg. East),Mid-channel true right lon. (+/- 180),Mid-channel true right lat.,Mid-channel true left lon. (deg. East),Mid-channel true left lon. (+/- 180),Mid-channel true left lat.,Centre lon. (deg. East),Centre Lon (-180 to 180),Centre .Lat,GLF length (km),GLF width (km),GLF area (km sq.),GLF orientation (deg.),Buffer min. elevation (m),Buffer max. elevation (m),Buffer MEAN elevation (m),Buffer STD. DEV. of elevation,Elongation
31,P15_007021_2276_XN_47N082W,H3316_0001_DA4,75,no,,,,277.2446,-82.7554,46.1389,276.9868,-83.0132,46.1424,277.0806,-82.9194,46.1541,277.0767,-82.9233,46.1272,277.116,-82.8843,46.141,10.58951,1.60243,16.96889,271.21544,-209,2148,532.112,673.492,6.60843
32,P15_007021_2276_XN_47N082W,H3316_0001_DA4,75,no,,,,277.1973,-82.8027,45.989,277.0171,-82.9829,45.9368,277.0972,-82.9028,45.9607,277.1025,-82.8975,45.9358,277.107,-82.8928,45.948,8.04329,1.49193,12.00005,247.44189,-159,2095,642.765,639.893,5.39119
33,P16_007166_2283_XN_48N082W,H1528_0000_DA4,75,no,,,,278.1064,-81.8936,47.9109,277.9756,-82.0244,48.0008,278.0486,-81.9514,47.9763,278.0422,-81.9578,47.9651,278.041,-81.959,47.971,7.43974,0.71076,5.28789,315.79186,-400,625,212.482,142.49,10.46727
34,P16_007166_2283_XN_48N082W,H1528_0000_DA4,75,no,,,,278.146,-81.854,49.2427,278.1392,-81.8608,49.2049,278.1299,-81.8701,49.2244,278.1587,-81.8413,49.2149,278.143,-81.8574,49.220,2.25587,1.24907,2.81774,186.70353,-1761,-648,-1498.57,222.681,1.80603
35,P04_002762_2192_XI_39N083W,H1550_0000_DA4,75,yes,PSP_005663_2195,,,276.2957,-83.7043,38.8953,276.2942,-83.7058,38.9468,276.3037,-83.6963,38.9202,276.2864,-83.7136,38.9221,276.295,-83.70505,38.921,3.05326,0.80568,2.45994,358.70234,-825,719,-46.8033,607.709,3.78968
36,P04_002762_2192_XI_39N083W,H1550_0000_DA4,75,yes,ESP_027855_2195,,,276.3403,-83.6597,38.8948,276.3396,-83.6604,38.9505,276.3506,-83.6494,38.919,276.3298,-83.6702,38.9192,276.340,-83.66005,38.919,3.30157,0.95927,3.16709,359.44004,-720,704,139.76,593.254,3.44176
37,P04_002762_2192_XI_39N083W,H1550_0000_DA4,75,yes,ESP_027855_2195,,,276.3765,-83.6235,38.8945,276.3718,-83.6282,38.9456,276.3809,-83.6191,38.9199,276.3657,-83.6343,38.919,276.374,-83.62585,38.919,3.03651,0.70297,2.13459,355.90837,-726,739,254.823,551.329,4.31953
38,P05_002907_2258_XN_45N083W,H3316_0001_DA4,75,yes,ESP_029411_2255,,,277.0186,-82.9814,45.6638,276.9609,-83.0391,45.447,276.9512,-83.0488,45.5349,277.0244,-82.9756,45.5232,276.990,-83.01025,45.529,13.07127,3.11755,40.75032,190.5771,63,991,691.211,186.39,4.1928
39,P18_007878_2258_XN_45N083W,H5286_0000_DA4,50,no,,,,276.1582,-83.8418,44.6614,276.4434,-83.5566,44.6917,276.3003,-83.6997,44.6565,276.2886,-83.7114,44.7258,276.301,-83.6992,44.691,12.15378,4.13699,50.28,81.40224,1300,2340,1809.62,319.825,2.93783
40,P18_007878_2258_XN_45N083W,H5286_0000_DA4,50,no,,,,276.2954,-83.7046,44.8303,276.5088,-83.4912,44.7322,276.3687,-83.6313,44.7415,276.4082,-83.5918,44.7864,276.402,-83.5979,44.764,10.69635,3.13778,33.56279,122.85377,1160,2174,1661.31,302.24,3.40889
41,P18_007878_2258_XN_45N083W,H5286_0000_DA4,50,no,,,,276.4756,-83.5244,45.1038,276.5361,-83.4639,45.1682,276.5293,-83.4707,45.1287,276.4976,-83.5024,45.1511,276.506,-83.49415,45.140,4.57919,1.87597,8.5904,33.51126,-137,1275,521.618,458.488,2.44098
42,P18_007878_2258_XN_45N083W,H5286_0000_DA4,50,yes,"ESP_017741_2255, ESP_016673_2255", ESP_016673_2255_ESP_017741_2255_RED_ANAGLYPH,,276.4292,-83.5708,45.1321,276.4897,-83.5103,45.1902,276.4722,-83.5278,45.157,276.4468,-83.5532,45.1716,276.459,-83.54055,45.164,4.27224,1.36953,5.85096,36.26624,-159,1614,702.322,578.826,3.1195
43,P15_006731_2257_XN_45N084W,H5286_0000_DA4,50,yes,PSP_007232_2260,,,275.8203,-84.1797,45.324,275.6865,-84.3135,45.5369,275.7764,-84.2236,45.4539,275.752,-84.248,45.4383,275.753,-84.2466,45.446,13.79166,1.37275,18.9325,336.24824,819,1588,1259.11,165.342,10.04674
44,P15_006731_2257_XN_45N084W,H5286_0000_DA4,50,no,,,,275.6172,-84.3828,45.9334,275.6558,-84.3442,45.8679,275.627,-84.373,45.8914,275.6504,-84.3496,45.9011,275.637,-84.3635,45.896,4.19607,1.12351,4.71433,157.68733,-1016,867,-297.893,564.882,3.73478
45,P16_007232_2259_XN_45N084W,H5286_0000_DA4,50,no,,,,275.9097,-84.0903,45.5252,275.9238,-84.0762,45.6453,275.9302,-84.0698,45.5891,275.8994,-84.1006,45.5891,275.917,-84.08325,45.589,7.14248,1.27752,9.12469,4.69204,-712,1550,500.652,716.809,5.59088
46,P16_007232_2259_XN_45N084W,H5286_0000_DA4,50,no,,,,275.9492,-84.0508,44.8843,275.957,-84.043,44.8674,275.9463,-84.0537,44.8726,275.958,-84.042,44.876,275.953,-84.0469,44.874,1.0539,0.53115,0.55978,161.88622,1407,1963,1710.75,116.82,1.98419
47,P16_007232_2259_XN_45N084W,H5286_0000_DA4,50,no,,,,275.7026,-84.2974,46.3425,275.5596,-84.4404,46.3689,275.6138,-84.3862,46.3645,275.6128,-84.3872,46.3504,275.631,-84.3689,46.357,6.05549,0.83673,5.06679,285.02713,-259,1005,616.159,302.424,7.23711
48,P16_007443_2190_XN_39N084W,H1550_0000_DA4,75,no,,,,275.6133,-84.3867,38.7991,275.481,-84.519,38.7024,275.5269,-84.4731,38.7722,275.5527,-84.4473,38.7454,275.547,-84.45285,38.759,8.38151,1.98625,16.64777,226.89761,-628,1152,585.858,395.714,4.21976
49,P16_007443_2190_XN_39N084W,H1550_0000_DA4,75,no,,,,275.7266,-84.2734,37.2478,275.9087,-84.0913,37.2112,275.8052,-84.1948,37.198,275.814,-84.186,37.2395,275.818,-84.18235,37.219,8.86341,2.49458,22.11053,104.11204,459,929,754.189,109.098,3.55306
50,P21_009381_2233_XN_43N084W,H5286_0000_DA4,50,no,,,,275.603,-84.397,43.8696,275.6482,-84.3518,43.856,275.6233,-84.3767,43.8596,275.6292,-84.3708,43.8692,275.626,-84.3744,43.864,2.09306,0.62236,1.30264,112.63587,417,653,509.628,46.415,3.36309
51,P21_009381_2233_XN_43N084W,H5286_0000_DA4,50,no,,,,275.9585,-84.0415,42.822,275.689,-84.311,42.6702,275.8237,-84.1763,42.7503,275.8359,-84.1641,42.7322,275.824,-84.17625,42.741,14.78372,1.19706,17.69706,232.60309,1154,1443,1317.28,63.9138,12.34998
52,B02_010581_2185_XN_38N084W,H1550_0000_DA4,75,no,,,,275.3735,-84.6265,38.4627,275.3308,-84.6692,38.4727,275.3528,-84.6472,38.4702,275.3511,-84.6489,38.4563,275.352,-84.64785,38.463,2.06833,0.82764,1.71183,286.66581,917,1315,1085.07,72.6022,2.49906
53,P17_007799_2185_XN_38N085W,H1550_0000_DA4,75,no,,,,274.5088,-85.4912,38.1726,274.1406,-85.8594,37.9441,274.3174,-85.6826,38.0486,274.3457,-85.6543,38.0056,274.325,-85.6753,38.027,21.87927,2.87081,62.81128,231.86972,1491,2337,1981.03,155.496,7.62128
54,P18_007944_2243_XN_44N085W,H5304_0000_DA4,50,no,,,,274.2905,-85.7095,43.8235,274.1045,-85.8955,43.8782,274.2173,-85.7827,43.8816,274.1602,-85.8398,43.8269,274.198,-85.8025,43.854,8.58592,4.05802,34.84186,292.25024,863,2747,1775.82,529.904,2.11579
55,P18_007944_2243_XN_44N085W,H5304_0000_DA4,50,no,,,,274.5244,-85.4756,43.887,274.438,-85.562,43.9876,274.5127,-85.4873,43.95,274.4351,-85.5649,43.9256,274.481,-85.5188,43.938,7.01089,3.61402,25.33754,328.29503,1694,2873,2374.5,345.136,1.93991
