N,imageID,URL,anaglyphURL,Deskrifans,Dorhys,Dorhys180,Dorles
118,ESP_051784_2450,http://www.uahirise.org/kw/ESP_051784_2450,,Le Strekys Potencyal A-Dhiwedhes ha Menegow a Dhorrew,30,30,65
119,ESP_051824_1600,http://www.uahirise.org/kw/ESP_051824_1600,,Ow Korwolya Run Kowdoll Strekys,31,31,-20
120,ESP_051890_1365,http://www.uahirise.org/kw/ESP_051890_1365,,Kowdoll Gwithys yn ta gans Estowlans Gwiskasek,32,32,-43
121,ESP_040484_1325,http://www.uahirise.org/kw/ESP_040484_1325,,Tewynnow gans Savnow,34,34,-47
122,ESP_040563_1565,http://www.uahirise.org/kw/ESP_040563_1565,,Godhes Karnek war Leur Kowdoll,34,34,-23
123,ESP_014335_1450,http://www.uahirise.org/kw/ESP_014335_1450,https://www.uahirise.org/anaglyph/singula.php?ID=ESP_014335_1450,Polter Splann ha Tewes Tewl,37,37,-35
124,ESP_042989_1530,http://www.uahirise.org/kw/ESP_042989_1530,,Drummow Kromm yn Kowdoll,38,38,-27
125,ESP_051797_2260,http://www.uahirise.org/kw/ESP_051797_2260,,Massif yn Deuteronilus Mensae,40,40,45
126,ESP_043028_2420,http://www.uahirise.org/kw/ESP_043028_2420,,Tirwedh Sowdhanus a Blenys an Kledh,41,41,61
127,ESP_051810_2330,http://www.uahirise.org/kw/ESP_051810_2330,,Kowdoll Strekys Omhwelys yn Vastitas Borealis,43,43,53
128,ESP_043041_2230,http://www.uahirise.org/kw/ESP_043041_2230,,Mensaow Protonilus,46,46,43
129,ESP_046206_2060,http://www.uahirise.org/kw/ESP_046206_2060,,Pervedh a Gowdoll Flammarion,48,48,26
130,ESP_051863_1370,http://www.uahirise.org/kw/ESP_051863_1370,,Silica yn Hella Planitia,48,48,-43
131,ESP_051889_2230,http://www.uahirise.org/kw/ESP_051889_2230,,Fros a-hys Mesa yn Protonilus Mensae,48,48,43
132,ESP_051744_2095,http://www.uahirise.org/kw/ESP_051744_2095,,Ow korwolyas Le Strekys Nowydh,49,49,29
133,ESP_043094_1545,http://www.uahirise.org/kw/ESP_043094_1545,,Gwelidor gwiskasek war woles kowdoll,51,51,-25
134,ESP_051757_2250,http://www.uahirise.org/kw/ESP_051757_2250,,Linennow a Byttow yn Protonilus Mensae,52,52,45
135,ESP_051836_2195,http://www.uahirise.org/kw/ESP_051836_2195,,Menegow Fros Rewivek yn Nans,56,56,39
136,ESP_043001_2435,http://www.uahirise.org/kw/ESP_043001_2435,,Tiredh Plenys a'n Wogledh,57,57,63
137,ESP_043093_2565,http://www.uahirise.org/kw/ESP_043093_2565,,Tewynnow yeyn pennaghlek,58,58,76
138,ESP_051809_2565,http://www.uahirise.org/kw/ESP_051809_2565,,Brithweyth a Dewynnow Pennaghlek,58,58,76
139,ESP_051757_1580,http://www.uahirise.org/kw/ESP_051757_1580,https://www.uahirise.org/anaglyph/singula.php?ID=ESP_051757_1580,Gwaskasieth Diglos Da yn Fos Gowdoll,62,62,-22
140,ESP_051849_2070,http://www.uahirise.org/kw/ESP_051849_2070,,Ow Studhya an Runyow a Dewynnow rag Dorslynkyow,63,63,27
141,ESP_040537_0950,http://www.uahirise.org/kw/ESP_040537_0950,,Tirwedh yn Ranndir Henwys Giza,65,65,-85
142,ESP_051836_1345,http://www.uahirise.org/kw/ESP_051836_1345,https://www.uahirise.org/anaglyph/singula.php?ID=ESP_051836_1345,Savnow Gwius yn Hella Planitia,67,67,-45
143,ESP_043080_2045,http://www.uahirise.org/kw/ESP_043080_2045,,Folsyow war Leur Kowdoll ha Drummow Tewyn,68,68,24
144,ESP_051875_2135,http://www.uahirise.org/kw/ESP_051875_2135,,Tiredh ogas dhe Nilosyrtis Mensae,73,73,33
145,ESP_040522_1565,http://www.uahirise.org/kw/ESP_040522_1565,https://www.uahirise.org/anaglyph/singula.php?ID=ESP_040522_1565,Gwynsell Fennleysel yn Kowdoll ryb an Kehysedh,74,74,-23
146,ESP_043027_2025,http://www.uahirise.org/kw/ESP_043027_2025,,Gorwolyas an Runyow ogas dhe Nili Fossae,74,74,22
147,ESP_043093_1965,http://www.uahirise.org/kw/ESP_043093_1965,,"Kowdoll strekys gwithys yn ta, 6 kilometer a-dreus, yn rannvro Syrtis Major",74,74,16
148,ESP_051862_1550,http://www.uahirise.org/kw/ESP_051862_1550,,Gwelidor dhe'n North a Hellas Planitia,74,74,-25
149,ESP_043066_2575,http://www.uahirise.org/kw/ESP_043066_2575,,Gronn a Dewynnow Pennaghlek gans Fynnglow,76,76,77
150,ESP_046205_2010,http://www.uahirise.org/kw/ESP_046205_2010,,Tiredh Karnek ogas dhe Nili Fossae,77,77,21
151,ESP_051809_1955,http://www.uahirise.org/kw/ESP_051809_1955,,Tirwedhow yn Ranndir North-Est a Syrtis Major,78,78,15
152,ESP_051835_2445,http://www.uahirise.org/kw/ESP_051835_2445,,Kowdell Tarosvannus,78,78,64
153,ESP_051888_1990,http://www.uahirise.org/kw/ESP_051888_1990,,Kanel gans Dewyn dhe’n North a Gowdoll Jezero,78,78,19
154,ESP_040482_1855,http://www.uahirise.org/kw/ESP_040482_1855,,Bleyn Kresel a Gowdoll Beruri,81,81,5
155,ESP_043040_1820,http://www.uahirise.org/kw/ESP_043040_1820,http://www.uahirise.org/anaglyph/singula.php?ID=ESP_044728_1820,Gesyon Nans,82,82,2
156,ESP_051743_1735,http://www.uahirise.org/kw/ESP_051743_1735,https://www.uahirise.org/anaglyph/singula.php?ID=ESP_051743_1735,Kowdoll Pur Fresk yn Tyrrhena Terra,82,82,-6
157,ESP_046205_1515,http://www.uahirise.org/kw/ESP_046205_1515,https://www.uahirise.org/anaglyph/singula.php?ID=ESP_046205_1515,Kanolyow yn Kowdoll dhe’n North-Est a Hellas Planitia,84,84,-28
158,ESP_051822_1585,http://www.uahirise.org/kw/ESP_051822_1585,,Gwiskasow yn Kowdoll Millochau,85,85,-21
159,ESP_051769_1845,http://www.uahirise.org/kw/ESP_051769_1845,,Kestavans yn Isdis Planitia a’n Soth,89,89,5
