HeadX,HeadY,CentreX,CentreY,TerminiX,TerminiY,LeftMidChX,LeftMidChY,RightMidChX,RightMidChY,Length_km,Width_km,Area_kmsq,Orientation,CatNumber,CentreLong,CentreLat,DTMtile,DTMres,HiRISE,HiRISEANAGLYPH,HiRISEDTM
-6454163,2005168,-6454974,2003188,-6455784,2001523,-6454231,2002738,-6455584,2003692,4.047,1.751,7.086,205.8,113,-142.1580,33.7950,none,none,,,
-7846461,2267968,-7845315,2267909,-7844168,2267767,-7845208,2268413,-7845244,2267346,2.359,1.068,2.518,94.9,114,-172.7775,38.2610,none,none,ESP_019063_2185,,
-7811035,2295436,-7814050,2297606,-7817065,2299254,-7814204,2296883,-7813782,2298359,7.228,1.537,11.111,301.9,115,-172.0889,38.7620,none,none,,,
-7989911,2001232,-7988958,2002833,-7988004,2005020,-7988826,2003052,-7988118,2002590,4.316,0.897,3.870,28.6,116,-175.9409,33.7890,none,none,,,
-7990288,2000539,-7991841,1997320,-7993394,1993183,-7991687,1996544,-7992418,1998079,8.092,1.728,13.986,204.7,117,-176.0044,33.6960,none,none,,,
-7992904,2004036,-7992461,2005678,-7992018,2008292,-7992418,2006093,-7991487,2005281,4.363,1.295,5.651,12.7,118,-176.0181,33.8370,none,none,,,
-8041771,1952171,-8040097,1951679,-8038424,1951015,-8039732,1952402,-8040172,1950956,3.845,1.525,5.861,107.5,119,-177.0672,32.9260,H1258_0001_DA4_(partial),75,PSP_009068_2135,,
-8052083,2028208,-8050972,2027135,-8049862,2025748,-8050707,2027657,-8051461,2026554,3.435,1.370,4.707,135.7,120,-177.3067,34.1990,H1258_0001_DA4,75,,,
-8052169,2028143,-8053168,2030514,-8054167,2032429,-8053322,2030147,-8052278,2030929,4.797,1.372,6.580,333.3,121,-177.3550,34.2560,H1258_0001_DA4,75,,,
-8056383,2000853,-8053256,2005144,-8050130,2010230,-8055007,2006816,-8051547,2003461,11.571,5.033,58.236,35.8,122,-177.3570,33.8280,H1258_0001_DA4,75,"ESP_026975_2140, ESP_027331_2140",ESP_026975_2140_ESP_027331_2140_RED_ANAGLYPH,
7740363,1982792,7738299,1981731,7736236,1980670,7738143,1981115,7737666,1982389,4.972,1.376,6.842,244.8,123,170.4207,33.4330,none,none,,,
7747646,1860046,7749551,1858973,7751456,1858339,7749753,1859554,7749395,1858368,4.576,1.251,5.725,111.9,124,170.6685,31.3620,none,none,ESP_024615_2120,,
7601958,1860597,7609872,1858914,7617787,1856780,7608210,1860425,7607856,1857355,18.052,3.096,55.881,102.1,125,167.5923,31.3610,none,none,"ESP_017455_2115, PSP_001843_2115",,
7588940,1861030,7589101,1861818,7589262,1862506,7588899,1861895,7589417,1861729,1.519,0.600,0.911,13.7,126,167.1349,31.4100,none,none,,,
7587755,1860645,7587668,1861581,7587582,1862630,7587214,1861575,7587696,1861629,1.995,0.539,1.075,354.5,127,167.1033,31.4060,none,none,,,
7597603,1872719,7598348,1873792,7599093,1874948,7598176,1873993,7598616,1873602,2.776,0.627,1.740,36.6,128,167.3385,31.6120,none,none,,,
7586424,1860526,7586451,1861403,7586479,1862091,7586115,1861439,7586724,1861380,1.566,0.680,1.066,2.2,129,167.0765,31.4030,none,none,,,
7581602,1879221,7580925,1880549,7580249,1881972,7580717,1880365,7581270,1880757,3.134,0.729,2.284,331.4,130,166.9548,31.7260,none,none,,,
7582832,1879500,7582394,1881438,7581956,1882624,7582269,1881450,7582955,1881379,3.272,0.764,2.501,342.7,131,166.9872,31.7410,none,none,,,
7584040,1880845,7583044,1881853,7582047,1882825,7583055,1881468,7583386,1882292,2.969,0.902,2.679,311.8,132,167.0015,31.7480,none,none,,,
7565442,1861872,7564272,1862826,7563103,1863288,7564288,1862364,7564574,1863276,2.965,0.967,2.867,298.6,133,166.5881,31.4270,none,none,,,
7563766,1856519,7562719,1858025,7561673,1858949,7562758,1857610,7563244,1858398,3.369,0.956,3.223,316.2,134,166.5539,31.3460,none,none,,,
7488663,2359423,7489160,2358540,7489657,2357716,7489457,2358789,7488858,2358268,1.977,0.796,1.574,149.7,135,164.9339,39.7900,H1412_0001_DA4,100,,,
7491764,2347124,7491310,2344670,7490856,2342927,7492009,2344492,7490942,2344842,4.295,1.129,4.851,192.3,136,164.9812,39.5560,H1412_0001_DA4,100,,,
7476798,2350568,7477686,2348582,7478573,2347041,7478796,2348718,7477266,2348398,3.953,1.572,6.212,153.1,137,164.6812,39.6220,H1412_0001_DA4,100,,,
7488527,2348339,7488495,2351427,7488463,2355114,7486556,2351469,7488527,2351380,6.775,1.982,13.428,359.5,138,164.9192,39.6700,H1412_0001_DA4,100,,,
7490234,2315175,7489725,2316574,7489217,2318038,7489103,2316271,7490456,2316852,3.043,1.489,4.531,340.2,139,164.9463,39.0820,H1412_0001_DA4,100,,,
7517174,2353929,7515975,2356169,7514776,2358007,7515353,2355695,7517219,2356590,4.735,2.076,9.829,329.5,140,165.5244,39.7500,H1412_0001_DA4,100,,,
7517882,2350627,7516120,2348049,7514359,2346750,7516997,2347325,7515666,2348748,5.251,1.953,10.255,222.5,141,165.5276,39.6130,H1412_0001_DA4,100,,,
7479395,2085254,7484960,2083269,7490524,2082356,7485866,2085657,7485157,2080909,12.226,4.807,58.776,103.6,142,164.8414,35.1460,H1412_0001_DA4,100,,,
7476158,2115585,7481080,2107453,7486002,2111128,7480857,2108407,7480812,2106498,11.353,1.909,21.674,113.1,143,164.7559,35.5540,H1412_0001_DA4,100,ESP_018866_2160,,
7483872,2167480,7488495,2164356,7493117,2161084,7489194,2164759,7487909,2163918,11.618,1.589,18.464,123.3,144,164.9192,36.5140,H1412_0001_DA4,100,,,
7473697,2190633,7477431,2188955,7481166,2191759,7477420,2190745,7477311,2187219,7.871,3.528,27.773,81.7,145,164.6756,36.9290,H1412_0001_DA4,100,,,
7464983,2027598,7468463,2022986,7471944,2017989,7469991,2024877,7466668,2021060,12.202,5.241,63.951,141.9,146,164.4781,34.1290,H1412_0001_DA4,100,,,
7459162,2063471,7457947,2061870,7456733,2060827,7458708,2061372,7458099,2062327,3.711,1.156,4.289,224.6,147,164.2465,34.7850,H1423_0001_DA4,75,,,
7488304,2916487,7491430,2914537,7494557,2912782,7491878,2915100,7491278,2913938,6.496,1.269,8.246,124.7,148,164.9839,49.1700,H1412_0001_DA4,100,,,
7462922,2588882,7464738,2586570,7466554,2585124,7465115,2587204,7464384,2585989,5.089,1.398,7.112,137.6,149,164.3960,43.6370,H1628_0000_DA4,100,,,
7457100,2210721,7457897,2213732,7458694,2215451,7456569,2213916,7457323,2213554,5.011,0.862,4.318,19.3,150,164.2454,37.3470,H1628_0000_DA4,100,,,
